SuWB,Prestatietevredenheid,Lichaamstevredenheid,Extraversion,Neuroticism,Zelfver,Dummy_typeblootstelling,Lichaamstype
4,4.571428571428569,4.25,5,3.88888888888889,8,NA,2
3.5,3.28571428571429,3.5,3.75,3.77777777777778,9,NA,1
3.375,4.71428571428571,2.5,4.25,4,6,NA,1
4.625,5.142857142857141,2.875,4.875,3.88888888888889,8,NA,1
1.75,5.71428571428571,1,4.625,4.11111111111111,6,NA,1
4,3.28571428571429,3,4.25,4,6,NA,1
3.25,NA,2.5,4.25,4.22222222222222,5,NA,1
2.25,4.28571428571429,1,3.625,5.22222222222222,6,NA,1
4.25,5.28571428571429,3.25,4.75,3.11111111111111,9,NA,1
3.375,4.571428571428569,3.625,5.25,4,10,NA,1
4.25,3.5714285714285703,4.125,5.625,3.3333333333333304,9,NA,1
3.5,3.4285714285714297,4,4,4.66666666666667,6,1,1
1.375,NA,1.875,2.25,6,6,NA,1
3.375,4.857142857142859,2.25,4.25,4.33333333333333,8,NA,2
3.625,4.571428571428569,3.375,4.125,4.22222222222222,7,NA,2
2.5,3.71428571428571,2.375,3.625,5.22222222222222,6,NA,1
2.875,4.571428571428569,1,2.875,5.66666666666667,5,1,1
3.625,3.28571428571429,1.625,3.125,5.33333333333333,7,NA,1
1,1.4285714285714295,1,2.125,6.55555555555556,3,NA,2
1.375,2.28571428571429,1.125,4.375,3.88888888888889,6,NA,1
2.375,3.1428571428571397,2.75,3.625,4.44444444444444,4,NA,2
3.375,NA,3.25,5.5,3.44444444444444,6,NA,1
2.5,5.28571428571429,3.375,4.5,4.77777777777778,8,NA,1
2.125,4.28571428571429,2.125,4.375,4.88888888888889,8,NA,1
3.25,3.5714285714285703,1.375,2.875,6,6,NA,1
3.75,4.28571428571429,3,3.5,4.77777777777778,6,NA,1
3.625,5.28571428571429,4.875,4.125,4.77777777777778,6,NA,1
3.875,3.4285714285714297,4.125,4.875,4,6,NA,1
3.125,3.5714285714285703,2.625,3.75,5.22222222222222,5,NA,1
2.625,NA,2.875,4.125,4.44444444444444,2,NA,2
1,2.5714285714285703,1,2,7,1,NA,2
2,3.85714285714286,4.25,5.25,4.55555555555556,6,NA,1
2.25,NA,2,2.5,5.77777777777778,3,NA,1
1.625,4.71428571428571,1.375,3.625,5.88888888888889,3,1,1
3.5,3.85714285714286,3,3.75,4.55555555555556,4,NA,2
1.875,3.28571428571429,2.125,3,5.44444444444444,3,1,1
1.625,3.85714285714286,1,2.375,5.88888888888889,3,NA,1
3.5,7,2.5,3.75,5.66666666666667,6,NA,1
4.25,NA,4,4,4.33333333333333,4,NA,1
3.625,NA,2.25,4.25,4.66666666666667,6,NA,1
2.125,2.4285714285714297,1,2.75,5.66666666666667,6,NA,1
3.125,3.4285714285714297,3.5,3.375,4.55555555555556,7,NA,1
3.625,5.142857142857141,1,3,5.66666666666667,6,NA,1
4.75,5.142857142857141,4.375,6,3.2222222222222197,6,NA,1
4.375,5.28571428571429,3.25,4.875,4,8,NA,1
2.125,4.571428571428569,1.375,2.625,6.88888888888889,5,NA,1
2.25,3.1428571428571397,2,3.625,5.55555555555556,5,NA,1
3.375,4.142857142857141,1,3.25,4,6,NA,1
3.5,4.857142857142859,1.75,4,4.77777777777778,6,1,1
3.25,3.28571428571429,3.375,4.375,4.11111111111111,3,NA,1
2.75,3.71428571428571,2,5.125,4.55555555555556,8,NA,2
1.625,3,1.875,1.5,5.77777777777778,4,1,2
3.875,3.71428571428571,2.5,4,3.88888888888889,7,NA,1
3.125,3.71428571428571,2.875,4.375,5.22222222222222,4,NA,1
2.75,2.71428571428571,2,3.125,4.88888888888889,4,NA,1
3.25,NA,1.25,3,5,5,1,2
4.25,3.5714285714285703,4.125,3.375,4.22222222222222,6,NA,2
3.375,3.1428571428571397,1.5,3.625,5.44444444444444,2,NA,NA
3.375,5.857142857142859,1,3.75,5.11111111111111,5,NA,2
3.5,3.4285714285714297,2.875,3.5,5.44444444444444,5,NA,1
1.75,3.4285714285714297,1.625,3.5,5.88888888888889,6,NA,NA
1.75,3.4285714285714297,2,3.25,5.44444444444444,6,1,NA
2.125,4.142857142857141,1.25,2.5,5.77777777777778,4,1,NA
3.625,5.857142857142859,1.875,3.5,4.11111111111111,6,NA,NA
2.75,1.8571428571428603,1.125,2.5,5.77777777777778,5,NA,NA
3.25,3.5714285714285703,2.625,3.625,5,6,NA,1
1.625,2.28571428571429,1.125,2.125,6.11111111111111,2,NA,1
6.25,7,1,4.625,4.77777777777778,8,NA,1
3.875,4.28571428571429,4.5,4.875,3.44444444444444,7,NA,2
2,NA,3,3,4,9,NA,1
1,2.71428571428571,1,2.125,7,1,NA,2
3.5,4.428571428571431,1,3.25,4.66666666666667,4,1,2
1.875,2.1428571428571397,1,2.875,5.55555555555556,3,NA,1
3.875,3.4285714285714297,4.25,6.125,2.88888888888889,9,NA,2
3.5,2.8571428571428603,1.375,2.875,4.55555555555556,5,NA,1
1.375,5.28571428571429,1,2.125,7,6,NA,1
2.75,3,2.125,3.25,5.44444444444444,5,NA,2
3.125,NA,3,4.5,3.88888888888889,5,NA,1
3.875,3.71428571428571,1.625,3,4.66666666666667,5,NA,1
2.875,3.1428571428571397,1.75,3.375,4.77777777777778,5,NA,2
